,gcm,period_scenario,temp_ch_ipcc,region
75,gfdl-esm4,2081-2100_ssp370,6.861332060512081,RGI03_glacier
76,gfdl-esm4,2021-2040_ssp585,2.62727277475095,RGI03_glacier
77,gfdl-esm4,2041-2060_ssp585,4.020579451470174,RGI03_glacier
78,gfdl-esm4,2061-2080_ssp585,5.83058160301417,RGI03_glacier
79,gfdl-esm4,2081-2100_ssp585,7.885197632960945,RGI03_glacier
80,gfdl-esm4,1851-1870_hist,0.20530393319017393,RGI04_glacier
81,gfdl-esm4,1901-1920_hist,0.5259033642701204,RGI04_glacier
82,gfdl-esm4,1951-1970_hist,0.2703916352326302,RGI04_glacier
83,gfdl-esm4,1995-2014_hist,1.0127685100501624,RGI04_glacier
84,gfdl-esm4,2021-2040_ssp126,2.324349218131206,RGI04_glacier
85,gfdl-esm4,2041-2060_ssp126,2.600314245811867,RGI04_glacier
86,gfdl-esm4,2061-2080_ssp126,2.6683924428493,RGI04_glacier
87,gfdl-esm4,2081-2100_ssp126,2.838231205565287,RGI04_glacier
88,gfdl-esm4,2021-2040_ssp370,2.5102322836520523,RGI04_glacier
89,gfdl-esm4,2041-2060_ssp370,2.8048736215404277,RGI04_glacier
90,gfdl-esm4,2061-2080_ssp370,4.447872417034515,RGI04_glacier
91,gfdl-esm4,2081-2100_ssp370,6.025090000650406,RGI04_glacier
92,gfdl-esm4,2021-2040_ssp585,2.6948394036392065,RGI04_glacier
93,gfdl-esm4,2041-2060_ssp585,3.708065037159195,RGI04_glacier
94,gfdl-esm4,2061-2080_ssp585,5.031734523551605,RGI04_glacier
95,gfdl-esm4,2081-2100_ssp585,6.981672947280505,RGI04_glacier
96,gfdl-esm4,1851-1870_hist,0.013719222855335222,RGI05_glacier
97,gfdl-esm4,1901-1920_hist,0.5068143760303033,RGI05_glacier
98,gfdl-esm4,1951-1970_hist,0.4033516273082728,RGI05_glacier
99,gfdl-esm4,1995-2014_hist,0.8590559186292072,RGI05_glacier
100,gfdl-esm4,2021-2040_ssp126,1.9438223619964932,RGI05_glacier
101,gfdl-esm4,2041-2060_ssp126,2.075672561326315,RGI05_glacier
102,gfdl-esm4,2061-2080_ssp126,2.221430508868253,RGI05_glacier
103,gfdl-esm4,2081-2100_ssp126,2.0144446517669694,RGI05_glacier
104,gfdl-esm4,2021-2040_ssp370,1.8647278991188143,RGI05_glacier
105,gfdl-esm4,2041-2060_ssp370,2.7973974659878484,RGI05_glacier
106,gfdl-esm4,2061-2080_ssp370,4.283717641985699,RGI05_glacier
