,rgi_reg,year,a_simple,b_simple
0,All,100,89.66894771198264,0.1270263774953698
1,01,100,76.89978546318237,0.2415147023160854
2,02,100,42.96651910486639,1.262770969933111
3,03,100,97.09849225591283,0.053353569963450406
4,04,100,81.21660754114589,0.1550000275754345
5,05,100,83.00081033824286,0.09944500964322799
6,06,100,76.50271642133009,0.4303144992537264
7,07,100,90.90305026952005,0.13266481612317793
8,08,100,62.31264144227818,0.6754441499992894
9,09,100,94.85804837314004,0.11842906149752686
10,10,100,50.09574035748364,0.6346961730766911
11,11,100,43.49177129853121,0.9381688082870583
12,12,100,70.19343968863781,0.6554864465327948
13,13,100,82.29485596318202,0.3715956801308684
14,14,100,88.58791298760117,0.21713825521325913
15,15,100,57.068211380406495,0.4411630006543041
16,16,100,63.58498201938146,0.9813222561099205
17,17,100,61.054385543542544,0.4303646170495661
18,18,100,66.89735660072444,0.6361029175201237
19,19,100,94.97886332235261,0.10663271219993282
20,All,300,77.41541010471286,0.19422817916456628
21,01,300,70.0442952444483,0.26716866181514803
22,02,300,35.50504760481899,1.3638868371521238
23,03,300,89.70162707127379,0.1021905387788474
24,04,300,49.113815498263286,0.38612879060457567
25,05,300,66.77382129102955,0.19302688766585543
26,06,300,63.01039137869922,0.6112398628566258
27,07,300,75.59548956361353,0.251304012978403
28,08,300,38.041077419814634,1.2797397174205436
29,09,300,75.45928319879064,0.2340967953145357
30,10,300,46.16423689604304,0.6598234891330941
31,11,300,38.06741982074145,0.9286577896960672
32,12,300,69.41801094443673,0.671518684924047
33,13,300,78.79802228985059,0.4951962819785857
34,14,300,80.33180833949287,0.27228641639669326
35,15,300,53.15940946035962,0.4588653292136103
36,16,300,63.240566275081164,0.9927775436662131
37,17,300,51.947653854816885,0.4244943845292433
38,18,300,65.69074728030922,0.6414174722278417
39,19,300,85.22394509667642,0.24378276272709648
40,All,500,71.88102957467243,0.21656618464850527
41,01,500,69.80311263118608,0.2717777592859234
42,02,500,36.0506628036941,1.394419076438405
43,03,500,84.64172357420435,0.12129254897999865
44,04,500,36.214245752838686,0.4065190164794087
45,05,500,60.45092246071698,0.22821397849639463
46,06,500,54.116671603185935,0.7243335236431881
47,07,500,69.34031648870106,0.28172249067782856
48,08,500,31.639938401553515,1.4811160566896147
49,09,500,66.33116749623332,0.28119022607324007
50,10,500,48.113129485560556,0.6815503722432236
51,11,500,38.13244071888786,0.9400710941660454
52,12,500,69.41706332849283,0.6713413545410611
53,13,500,78.89389580505544,0.5008546464240541
54,14,500,79.37949593051698,0.284803988437894
55,15,500,53.90201120701235,0.47468338649877195
56,16,500,62.882593313061705,0.9925500134741052
57,17,500,51.122996690780994,0.4179320718550306
58,18,500,65.6556000729249,0.6410320578080901
59,19,500,78.04047852018738,0.2949241887833387
60,All,5000,64.01931919828763,0.26756456283487245
61,01,5000,69.83956982455257,0.27139627009157696
62,02,5000,37.40325206505463,1.470703223187792
63,03,5000,81.51351414813718,0.16699891177976017
64,04,5000,21.616809431746294,0.5187406893629573
65,05,5000,50.558801839685216,0.3268503496188783
66,06,5000,47.898827102177584,1.0155740506480084
67,07,5000,58.23664746818983,0.28114660989093465
68,08,5000,25.77749954713912,1.6583545629998608
69,09,5000,56.825237057355345,0.38068582637127274
70,10,5000,51.083725590275336,0.7153910103352308
71,11,5000,38.18893250884677,0.9451652942625665
72,12,5000,70.07447452389765,0.6787972574611891
73,13,5000,79.10448096009637,0.5145091313015079
74,14,5000,79.35814160533373,0.2673174840318486
75,15,5000,53.75250960123072,0.4702154365583697
76,16,5000,63.097767450393,0.991478277061265
77,17,5000,50.77928596265252,0.4217926103372844
78,18,5000,66.20592785120142,0.6518718268873083
79,19,5000,57.7977352483928,0.35823720192740843
