,rgi_reg,year,a_simple,b_simple
0,All,100,58.53566421793556,0.48896579042168836
1,01,100,66.09133685150475,0.36158529741433054
2,02,100,32.716468028439245,1.787236840024191
3,03,100,73.88567308106886,0.4018551125542035
4,04,100,15.693161431133008,1.1076554245638324
5,05,100,46.585412225970195,0.6770590521282276
6,06,100,50.423135339228516,1.0063738616517828
7,07,100,50.852533469650425,1.0295510543095943
8,08,100,27.821663067616328,2.1936613497883695
9,09,100,38.51469031991953,1.4016705546547097
10,10,100,41.0276401227713,1.1486774834204772
11,11,100,34.84506505251638,1.2167192414916985
12,12,100,62.01580049859278,0.8932062245301611
13,13,100,74.0653197335622,0.6733454885205257
14,14,100,82.82150940060033,0.39440489856229854
15,15,100,55.81762099388214,0.6038161349329757
16,16,100,63.920341298637794,1.0847614205265244
17,17,100,60.40308172426875,0.34063799162130604
18,18,100,77.01561611114863,0.5236886544436419
19,19,100,64.47856931038795,0.4324020619386444
20,All,500,58.53566421793556,0.48896579042168836
21,01,500,66.09133685150475,0.36158529741433054
22,02,500,32.716468028439245,1.787236840024191
23,03,500,73.88567308106886,0.4018551125542035
24,04,500,15.693161431133008,1.1076554245638324
25,05,500,46.585412225970195,0.6770590521282276
26,06,500,50.423135339228516,1.0063738616517828
27,07,500,50.852533469650425,1.0295510543095943
28,08,500,27.821663067616328,2.1936613497883695
29,09,500,38.51469031991953,1.4016705546547097
30,10,500,41.0276401227713,1.1486774834204772
31,11,500,34.84506505251638,1.2167192414916985
32,12,500,62.01580049859278,0.8932062245301611
33,13,500,74.0653197335622,0.6733454885205257
34,14,500,82.82150940060033,0.39440489856229854
35,15,500,55.81762099388214,0.6038161349329757
36,16,500,63.920341298637794,1.0847614205265244
37,17,500,60.40308172426875,0.34063799162130604
38,18,500,77.01561611114863,0.5236886544436419
39,19,500,64.47856931038795,0.4324020619386444
40,All,5000,58.53052516851692,0.49045609693437187
41,01,5000,66.00087329530828,0.3605367605725714
42,02,5000,32.42355673204331,1.7830160037158063
43,03,5000,73.82709646546455,0.4018691628093416
44,04,5000,15.731784403319953,1.107192137917376
45,05,5000,46.651656462813435,0.6783649284123142
46,06,5000,50.431502239475904,1.0056777666423178
47,07,5000,50.84361598747951,1.029000182264502
48,08,5000,27.820168937652674,2.1937980202029097
49,09,5000,38.53128053916683,1.4018209169821572
50,10,5000,41.15551090451759,1.1555421296906006
51,11,5000,35.012874512073786,1.2263659916472176
52,12,5000,61.960391602071915,0.8935176731630131
53,13,5000,74.16615794134934,0.673264645868484
54,14,5000,83.0503194794284,0.39892581035220864
55,15,5000,56.03426318824443,0.6112534454859614
56,16,5000,63.88115907010181,1.09293978633907
57,17,5000,60.369591496027546,0.34087729585030313
58,18,5000,76.59458666049916,0.5198343750376349
59,19,5000,64.48676492487134,0.4324196033950414
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
