,rgi_reg,year,a_simple,b_simple
0,All,50,103.34041811866544,0.10911622594488059
1,01,50,101.6230062997849,0.15514425125153156
2,02,50,101.85476510556737,0.5312518505675123
3,03,50,102.8013803946514,0.057444144166001423
4,04,50,100.77377931376553,0.13229170304563773
5,05,50,101.4251128535709,0.11228559759111394
6,06,50,106.45654389094372,0.18239709603732024
7,07,50,107.12061429911871,0.19644264070134496
8,08,50,120.0479098317442,0.40120781220931745
9,09,50,106.92393605316502,0.17076124009290514
10,10,50,107.91907045054019,0.5349470413151627
11,11,50,105.4602848926565,0.6424870171927513
12,12,50,134.37911447627266,0.6082204390440592
13,13,50,112.49503266644676,0.265648500629149
14,14,50,110.35276099974554,0.17909040444884622
15,15,50,106.84321511264923,0.40255777023968015
16,16,50,163.9728314986546,0.8110129262443888
17,17,50,98.51758370479949,0.1685591807121136
18,18,50,123.43072258046,0.39582021614216745
19,19,50,103.45492435978889,0.059988954509836837
20,All,100,102.79098536781243,0.18699907170350444
21,01,100,98.65984793314809,0.25250272203048757
22,02,100,101.81596124591415,0.8382133024989128
23,03,100,103.44255512654293,0.1097137883532731
24,04,100,94.81149005816026,0.257692559441542
25,05,100,98.96662522772725,0.19422043838605146
26,06,100,108.19388270356906,0.32633669047321595
27,07,100,104.81652372863648,0.31861771939807954
28,08,100,136.26609857432965,0.7383685397626458
29,09,100,106.27414255831523,0.3005821246497045
30,10,100,113.2765996224347,0.8035155343392042
31,11,100,106.3340302622994,0.8629487628982635
32,12,100,146.69945309102962,0.7274526227065986
33,13,100,120.53981085375158,0.4056032025623291
34,14,100,116.30155559043347,0.2865451394945916
35,15,100,108.3699508669809,0.5448440977922123
36,16,100,192.054758681375,0.9195377342651665
37,17,100,95.01665697148911,0.24992741256864026
38,18,100,127.32367326210031,0.44820385377663774
39,19,100,104.31960751867327,0.11241609349381601
40,All,500,96.94401161566459,0.3582915960546192
41,01,500,94.07358005358577,0.30492570584077827
42,02,500,102.43651900546513,1.010330211221588
43,03,500,95.79368846085599,0.23131846295494474
44,04,500,62.25135267042016,0.5717548126316638
45,05,500,87.4964505978687,0.3620361124777953
46,06,500,110.11928607104794,0.5965040893060887
47,07,500,99.93279229033152,0.6027198339783527
48,08,500,170.51754961832162,1.3784636066669527
49,09,500,98.55897776783858,0.7129617836893637
50,10,500,136.85418912882585,1.0600924541216943
51,11,500,109.84349940191646,0.9937609665480924
52,12,500,154.07080464276953,0.7731182213279328
53,13,500,138.6597352100995,0.5714377342139669
54,14,500,126.11177738226631,0.416548014916754
55,15,500,111.24501991325263,0.6001552377426751
56,16,500,226.0511763879528,1.0029358721638821
57,17,500,89.63489856049249,0.2817996353839788
58,18,500,132.5332306407488,0.4782010454280621
59,19,500,105.47991420151824,0.2682692800260616
60,All,5000,94.34014092742517,0.4431951957054362
61,01,5000,94.36291525800583,0.30895361801671883
62,02,5000,102.9553588184487,1.0186672306674178
63,03,5000,91.49306374425178,0.26322147738008894
64,04,5000,50.123598911471866,0.589160982696221
65,05,5000,84.92453089642966,0.4339325926037154
66,06,5000,109.73533658514202,0.684794597204939
67,07,5000,98.76260768397408,0.6890347210203757
68,08,5000,178.32879793587824,1.4593785771486976
69,09,5000,97.32501893050382,0.9175041597881727
70,10,5000,141.08048771417478,1.083430571896966
71,11,5000,110.92967773771088,1.0000854047009884
72,12,5000,154.64864497050195,0.7750641564314471
73,13,5000,144.436889763701,0.5939319446528188
74,14,5000,129.86852659343404,0.42361030662503213
75,15,5000,112.80012793759231,0.6087544861246867
76,16,5000,229.36971587803836,1.009986176313169
77,17,5000,89.32637699139755,0.2825495292631922
78,18,5000,133.33481372970164,0.48053344140704546
79,19,5000,108.62892596092124,0.35452996351223065
