,rgi_reg,temp_ch_ipcc,resp_time_-50%
0,RGI01,-0.2035287736460141,
1,RGI01,-0.1919133257011854,
2,RGI01,0.0233736138284338,77.0
3,RGI01,0.0416562514146835,77.0
4,RGI01,0.1309476951352631,
5,RGI01,0.1714087884401599,71.0
6,RGI01,0.177421026244157,
7,RGI01,0.1924779717488781,
8,RGI01,0.2428923844731737,
9,RGI01,0.2930089022449859,72.0
10,RGI01,0.2935286605061203,
11,RGI01,0.3130946460350731,
12,RGI01,0.3226520320932923,
13,RGI01,0.3322811293371855,75.5
14,RGI01,0.4182885643249491,65.0
15,RGI01,0.8414667339962786,68.0
16,RGI01,0.8449395549636868,64.0
17,RGI01,0.8533131458033562,70.5
18,RGI01,0.8622489478058092,69.0
19,RGI01,0.9987674077643272,64.0
20,RGI01,1.4091135287002734,56.5
21,RGI01,1.4285639337566964,52.0
22,RGI01,1.4337790687750325,60.5
23,RGI01,1.4337916253328808,46.5
24,RGI01,1.4683027574212977,56.5
25,RGI01,1.4698023875255355,50.0
26,RGI01,1.576714986028974,48.5
27,RGI01,1.596830649489223,51.5
28,RGI01,1.5999956464695364,47.0
29,RGI01,1.6049099413881018,45.5
30,RGI01,1.6181632715811345,48.0
31,RGI01,1.618749771523805,45.5
32,RGI01,1.6244760802167617,42.0
33,RGI01,1.6356898951470908,46.0
34,RGI01,1.6454887108734946,52.0
35,RGI01,1.6663241376269964,53.0
36,RGI01,1.670055607540898,42.5
37,RGI01,1.851734678845783,50.0
38,RGI01,1.887787940884185,47.5
39,RGI01,1.936245046811256,48.0
40,RGI01,1.9890754668449475,40.0
41,RGI01,1.9896075314919832,44.0
42,RGI01,2.0312659163195166,53.5
43,RGI01,2.032677030991532,44.5
44,RGI01,2.0796524250416253,42.5
45,RGI01,2.1112205231308154,38.0
46,RGI01,2.116143897725037,41.0
47,RGI01,2.129115489502097,42.5
48,RGI01,2.131208340613269,34.0
49,RGI01,2.2597325111266047,40.0
50,RGI01,2.2633173057330724,45.0
51,RGI01,2.344955505633247,42.0
52,RGI01,2.5348271367994477,32.0
53,RGI01,2.627006726396547,38.0
54,RGI01,2.658961154542893,36.5
55,RGI01,2.679834875299014,30.0
56,RGI01,2.7541615409733486,35.0
57,RGI01,2.783937216517189,31.0
58,RGI01,2.8903469538244115,37.0
59,RGI01,2.891472321285355,31.0
60,RGI01,2.978482494458876,27.0
61,RGI01,2.988039247761285,33.0
62,RGI01,3.045613246951532,36.0
63,RGI01,3.354119753355767,26.0
64,RGI01,3.3945105505178423,29.0
65,RGI01,3.453114748093524,25.0
66,RGI01,3.4723191142029632,29.0
67,RGI01,3.481685753482952,31.0
68,RGI01,3.586967337572662,25.0
69,RGI01,3.751452139882864,30.0
70,RGI01,3.9307986846486527,25.0
71,RGI01,3.941455331400753,27.0
72,RGI01,4.10009837781178,21.0
73,RGI01,4.37997677800201,21.0
74,RGI01,4.534325025231115,27.0
75,RGI01,4.617751174879019,20.0
76,RGI01,5.17054329301376,18.0
77,RGI01,5.780495049230715,17.0
78,RGI01,5.78930497817028,17.0
79,RGI01,6.824360785697311,14.0
80,RGI02,-0.2035287736460141,
81,RGI02,-0.1919133257011854,61.5
82,RGI02,0.0233736138284338,46.0
83,RGI02,0.0416562514146835,54.0
84,RGI02,0.1309476951352631,43.5
85,RGI02,0.1714087884401599,36.5
86,RGI02,0.177421026244157,49.0
87,RGI02,0.1924779717488781,36.0
88,RGI02,0.2428923844731737,55.5
89,RGI02,0.2930089022449859,52.0
90,RGI02,0.2935286605061203,51.5
91,RGI02,0.3130946460350731,38.5
92,RGI02,0.3226520320932923,49.5
93,RGI02,0.3322811293371855,43.5
94,RGI02,0.4182885643249491,37.0
95,RGI02,0.8414667339962786,40.0
96,RGI02,0.8449395549636868,31.0
97,RGI02,0.8533131458033562,35.0
98,RGI02,0.8622489478058092,34.0
99,RGI02,0.9987674077643272,31.0
100,RGI02,1.4091135287002734,25.5
101,RGI02,1.4285639337566964,27.0
102,RGI02,1.4337790687750325,28.5
103,RGI02,1.4337916253328808,24.5
104,RGI02,1.4683027574212977,27.5
105,RGI02,1.4698023875255355,28.5
106,RGI02,1.576714986028974,20.5
107,RGI02,1.596830649489223,24.0
108,RGI02,1.5999956464695364,22.5
109,RGI02,1.6049099413881018,18.0
110,RGI02,1.6181632715811345,19.0
111,RGI02,1.618749771523805,21.5
112,RGI02,1.6244760802167617,19.0
113,RGI02,1.6356898951470908,21.0
114,RGI02,1.6454887108734946,20.5
115,RGI02,1.6663241376269964,23.0
116,RGI02,1.670055607540898,20.0
117,RGI02,1.851734678845783,20.0
118,RGI02,1.887787940884185,19.5
119,RGI02,1.936245046811256,20.5
120,RGI02,1.9890754668449475,16.0
121,RGI02,1.9896075314919832,19.5
122,RGI02,2.0312659163195166,20.5
123,RGI02,2.032677030991532,19.5
124,RGI02,2.0796524250416253,18.5
125,RGI02,2.1112205231308154,15.0
126,RGI02,2.116143897725037,16.0
127,RGI02,2.129115489502097,18.5
128,RGI02,2.131208340613269,14.0
129,RGI02,2.2597325111266047,15.5
130,RGI02,2.2633173057330724,15.5
131,RGI02,2.344955505633247,18.0
132,RGI02,2.5348271367994477,14.0
133,RGI02,2.627006726396547,15.0
134,RGI02,2.658961154542893,15.0
135,RGI02,2.679834875299014,11.5
136,RGI02,2.7541615409733486,15.0
137,RGI02,2.783937216517189,11.0
138,RGI02,2.8903469538244115,14.0
139,RGI02,2.891472321285355,11.0
140,RGI02,2.978482494458876,10.5
141,RGI02,2.988039247761285,14.0
