,rgi_reg,year,a_simple,b_simple
0,All,50,103.36387656727267,0.1316917078952889
1,01,50,100.86506786702185,0.18677819098434345
2,02,50,101.8577397351778,0.6386559462337346
3,03,50,103.16974399447015,0.07161354918124478
4,04,50,99.78762879439499,0.16568466799115497
5,05,50,100.92145825699598,0.13544880987479424
6,06,50,107.10284619200056,0.22413905064267656
7,07,50,106.64818662192097,0.23086188852333478
8,08,50,124.91349736908795,0.49774543062510734
9,09,50,107.0003636793147,0.2051591328958139
10,10,50,108.99174027058687,0.6306720920822894
11,11,50,106.49319279101195,0.741248303042466
12,12,50,138.86736074465838,0.6612343267623955
13,13,50,114.63583424254352,0.3100451693440732
14,14,50,112.14066221401592,0.21111568682127504
15,15,50,107.45794689322338,0.4581923699049607
16,16,50,171.19216753036605,0.8543556392061301
17,17,50,97.71302644794453,0.19741620024113593
18,18,50,125.44645585941916,0.42219886512521687
19,19,50,103.85490969939983,0.07408505926818126
20,All,100,102.52217474489703,0.1997709073432246
21,01,100,98.0600184373165,0.2641580497992584
22,02,100,101.7167705429099,0.8747881919409274
23,03,100,103.3191017426562,0.11910642217290118
24,04,100,93.23223884178931,0.2825033138274475
25,05,100,98.31921741397679,0.20812592518158404
26,06,100,108.18256212405477,0.34848123572947776
27,07,100,104.24098482581842,0.33999179633442367
28,08,100,139.07348437493863,0.797138168114923
29,09,100,105.92675644721086,0.3257123931046548
30,10,100,114.57410693458039,0.8348997230141223
31,11,100,106.52902276396998,0.8782450651555703
32,12,100,148.5224063741911,0.7395131429844044
33,13,100,121.90954552039973,0.4250139810389985
34,14,100,117.21623229814284,0.30148336993109537
35,15,100,108.42418138147201,0.5584001862642745
36,16,100,196.20692497004265,0.931452774190284
37,17,100,94.29863200504985,0.2580766711556686
38,18,100,128.5623020528504,0.4534608880772398
39,19,100,104.30951572346947,0.12190306285311443
40,All,500,96.87069714406648,0.3601893788529134
41,01,500,94.02347080443062,0.3049632233588834
42,02,500,102.44297619381598,1.0101788585336149
43,03,500,95.63998716819677,0.23245742452413995
44,04,500,61.896711277100835,0.5725446701966694
45,05,500,87.39197815481626,0.36389491558746917
46,06,500,110.12829896712303,0.599529327514849
47,07,500,99.94272690322698,0.6049971624888054
48,08,500,171.3451994980938,1.3858622855792597
49,09,500,98.51498853317258,0.7170795665456214
50,10,500,136.8037416276948,1.0600886437113817
51,11,500,110.46485937217506,0.9948670252408478
52,12,500,154.86111745572336,0.7751916013894964
53,13,500,138.9196612648643,0.5726750444855295
54,14,500,126.1951134567579,0.4174966666611991
55,15,500,111.49218965987292,0.6021100729161368
56,16,500,226.15289135401176,1.0037374933999168
57,17,500,89.48822232068306,0.2816797519940307
58,18,500,132.3060156571136,0.47393250501040396
59,19,500,105.59255531023787,0.27050657120965765
60,All,5000,94.3259328134887,0.4430129466453497
61,01,5000,94.39421071125018,0.3091972732297762
62,02,5000,103.11101846944108,1.020523120084211
63,03,5000,91.50176720222902,0.2630978270158527
64,04,5000,50.10744783011882,0.5880350044551311
65,05,5000,84.88578022547769,0.4336645792947765
66,06,5000,109.75777769052551,0.6848132108026288
67,07,5000,98.7558103003187,0.6888924787115789
68,08,5000,178.1095605440638,1.4558643965595233
69,09,5000,97.32505129518617,0.9160937611872291
70,10,5000,141.13927421892103,1.0841393901414822
71,11,5000,111.53442559658822,1.0032484625224067
72,12,5000,154.73923947824937,0.7752257256814045
73,13,5000,144.44505025730246,0.5941036090356511
74,14,5000,129.85937837074445,0.423520374686381
75,15,5000,112.82384783758361,0.6098268369059909
76,16,5000,229.37776746623055,1.010183774341149
77,17,5000,89.28116963645796,0.2823784560804562
78,18,5000,133.86486893451206,0.478691223584599
79,19,5000,108.65081092579653,0.3544518725336844
